,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
360,104 ST,01/06/2020,4372,4640,212,0.9394760614272809
361,104 ST,01/07/2020,4486,4640,212,0.9652213188798555
362,104 ST,01/08/2020,4342,4640,212,0.9327009936766034
363,104 ST,01/09/2020,4301,4640,212,0.9234417344173442
364,104 ST,01/10/2020,4458,4640,212,0.9588979223125564
365,104 ST,01/11/2020,850,4640,212,0.14408310749774164
366,104 ST,01/12/2020,595,4640,212,0.08649503161698284
367,104 ST,01/13/2020,4376,4640,212,0.940379403794038
368,104 ST,01/14/2020,4458,4640,212,0.9588979223125564
369,104 ST,01/15/2020,4466,4640,212,0.9607046070460704
370,104 ST,01/16/2020,4470,4640,212,0.9616079494128275
371,104 ST,01/17/2020,4293,4640,212,0.9216350496838301
372,104 ST,01/18/2020,1815,4640,212,0.3620144534778681
373,104 ST,01/19/2020,1441,4640,212,0.27755194218608853
374,104 ST,01/20/2020,2681,4640,212,0.5575880758807588
375,104 ST,01/21/2020,3485,4640,212,0.739159891598916
376,104 ST,01/22/2020,4049,4640,212,0.8665311653116531
377,104 ST,01/23/2020,4114,4640,212,0.8812104787714544
378,104 ST,01/24/2020,4146,4640,212,0.8884372177055104
379,104 ST,01/25/2020,1158,4640,212,0.21364046973803072
380,104 ST,01/26/2020,980,4640,212,0.17344173441734417
381,104 ST,01/27/2020,4224,4640,212,0.9060523938572719
382,104 ST,01/28/2020,4545,4640,212,0.9785456187895212
383,104 ST,01/29/2020,4611,4640,212,0.9934507678410117
384,104 ST,01/30/2020,4490,4640,212,0.9661246612466124
385,104 ST,01/31/2020,4497,4640,212,0.9677055103884372
386,104 ST,02/01/2020,2118,4640,212,0.4304426377597109
387,104 ST,02/02/2020,1520,4640,212,0.2953929539295393
388,104 ST,02/03/2020,4346,4640,212,0.9336043360433605
389,104 ST,02/04/2020,4638,4640,212,0.9995483288166215
390,104 ST,02/05/2020,4564,4640,212,0.982836495031617
391,104 ST,02/06/2020,4480,4640,212,0.96386630532972
392,104 ST,02/07/2020,4394,4640,212,0.9444444444444444
393,104 ST,02/08/2020,1395,4640,212,0.26716350496838304
394,104 ST,02/09/2020,1010,4640,212,0.1802168021680217
395,104 ST,02/10/2020,4348,4640,212,0.934056007226739
396,104 ST,02/11/2020,4489,4640,212,0.9658988256549232
397,104 ST,02/12/2020,4436,4640,212,0.9539295392953929
398,104 ST,02/13/2020,4514,4640,212,0.9715447154471545
399,104 ST,02/14/2020,4306,4640,212,0.9245709123757905
400,104 ST,02/15/2020,1997,4640,212,0.40311653116531165
401,104 ST,02/16/2020,1491,4640,212,0.28884372177055107
402,104 ST,02/17/2020,2663,4640,212,0.5535230352303523
403,104 ST,02/18/2020,3961,4640,212,0.8466576332429991
404,104 ST,02/19/2020,4193,4640,212,0.8990514905149052
