,Station,Date,num_entries
717,116 ST-COLUMBIA,03/21/2020,524
718,116 ST-COLUMBIA,03/22/2020,429
719,116 ST-COLUMBIA,03/23/2020,860
720,116 ST-COLUMBIA,03/24/2020,825
721,116 ST-COLUMBIA,03/25/2020,756
722,116 ST-COLUMBIA,03/26/2020,765
723,116 ST-COLUMBIA,03/27/2020,706
724,116 ST-COLUMBIA,12/28/2019,3643
725,116 ST-COLUMBIA,12/29/2019,3471
726,116 ST-COLUMBIA,12/30/2019,5619
727,116 ST-COLUMBIA,12/31/2019,4119
728,121 ST,01/01/2020,807
729,121 ST,01/02/2020,1998
730,121 ST,01/03/2020,2017
731,121 ST,01/04/2020,987
732,121 ST,01/05/2020,869
733,121 ST,01/06/2020,2252
734,121 ST,01/07/2020,2212
735,121 ST,01/08/2020,2142
736,121 ST,01/09/2020,2132
737,121 ST,01/10/2020,2204
738,121 ST,01/11/2020,2
739,121 ST,01/12/2020,7
740,121 ST,01/13/2020,2130
741,121 ST,01/14/2020,2217
742,121 ST,01/15/2020,2213
743,121 ST,01/16/2020,2239
744,121 ST,01/17/2020,2047
745,121 ST,01/18/2020,1005
746,121 ST,01/19/2020,852
747,121 ST,01/20/2020,1351
748,121 ST,01/21/2020,2366
749,121 ST,01/22/2020,2144
750,121 ST,01/23/2020,2213
